Time		Cap_one		Cap_two		Cap_three		Cap_four
   96.2985		5504062		2588421		1769767		2382293	
   96.4943		5502860		2591452		1744903		2385146	
   96.6950		5501972		2590668		1767077		2386491	
   96.8924		5502076		2587690		1775419		2384123	
   97.0885		5501658		2590459		1807496		2384338	
   97.2894		5498209		2593020		1843716		2385092	
   97.4864		5502808		2589623		1841940		2381486	
   97.6870		5510177		2590459		1686508		2380679	
   97.8833		5488332		2591870		1784030		2383639	
   98.0865		5500822		2591714		1754106		2383800	
   98.2817		5496746		2590878		1759919		2386330	
   98.4812		5497738		2592602		1754321		2378526	
   98.6778		5502965		2593856		1767938		2384285	
   98.8783		5501972		2591975		1771597		2382616	
   99.0748		5495544		2589989		1660674		2383208	
   99.2755		5500090		2589989		1750500		2381378	
   99.4732		5496693		2592759		1842263		2390044	
   99.6736		5508295		2590616		1787205		2387729	
   99.8693		5501606		2588578		1806419		2382347	
  100.0706		5497164		2589780		1780263		2383208	
  100.2680		5498470		2592132		1705076		2383101	
  100.4697		5499620		2590982		1799100		2380679	
  100.6759		5500456		2589728		1698887		2381647	
  100.8644		5498000		2591296		1804966		2386922	
  101.0655		5506466		2590041		1828593		2385522	
  101.2581		5489011		2590459		1785106		2379010	
  101.4596		5494394		2590251		1868796		2381486	
  101.6561		5496589		2591923		1825256		2386599	
  101.8562		5503017		2589414		1802221		2385522	
  102.0527		5491572		2588735		1803943		2387352	
  102.2542		5499515		2590251		1824879		2387245	
  102.4503		5515978		2590878		1783330		2386060	
  102.6505		5500770		2590721		1771221		2383316	
  102.8474		5509027		2591504		1838388		2384231	
  103.0478		5513469		2591296		1799853		2389021	
  103.2444		5496902		2589362		1793018		2378095	
  103.4449		5493140		2592079		1750338		2389720	
  103.6417		5491729		2592498		1774396		2383639	
  103.8423		5493558		2586069		1756958		2386814	
  104.0392		5503226		2588996		1712718		2384554	
  104.2403		5503958		2589937		1798561		2384069	
  104.4373		5500822		2591400		1823426		2381647	
  104.6375		5505160		2593334		1821273		2383692	
  104.8343		5505473		2588996		1867182		2386060	
  105.0344		5486921		2590930		1740866		2379872	
  105.2313		5496380		2593386		1785537		2382132	
  105.4278		5505369		2591400		1808357		2389397	
  105.6280		5504689		2588108		1899743		2383800	
  105.8260		5513731		2588265		1790435		2386922	
  106.0264		5505787		2590721		1781070		2385684	
  106.2233		5507825		2591662		1821919		2388321	
  106.4231		5506780		2592759		1834944		2379602	
  106.6203		5509341		2590459		1840433		2385522	
  106.8207		5496380		2590564		1834136		2388106	
  107.0173		5495335		2590355		1778648		2384392	
  107.2176		5506623		2590878		1837258		2387514	
  107.4144		5504533		2588160		1836074		2386222	
  107.6148		5500509		2589466		1915512		2385684	
  107.8123		5492147		2589676		1831984		2383262	
  108.0118		5498000		2590041		1874340		2384338	
  108.2089		5502233		2591609		1864921		2387514	
  108.4111		5500770		2594275		1838442		2381916	
  108.6079		5503540		2591243		1858570		2387514	
  108.8064		5501815		2588839		1860024		2384823	
  109.0032		5503226		2591766		1785752		2383370	
  109.2047		5502756		2590668		1795547		2385038	
  109.4016		5503122		2592027		1807657		2383854	
  109.5978		5508975		2591139		1788766		2385253	
  109.7981		5500247		2590773		1866105		2379979	
  109.9944		5497216		2589728		1853027		2386975	
  110.2016		5501397		2592027		1846084		2387137	
  110.3924		5503174		2588578		1817936		2382831	
  110.5924		5499986		2593281		1848668		2385253	
  110.7900		5497738		2588474		1775526		2386814	
  110.9907		5499829		2588682		1762610		2390366	
  111.1870		5504742		2591452		1808357		2385038	
  111.3876		5499150		2590355		1869012		2382616	
  111.5841		5509184		2591870		1815568		2386868	
  111.7845		5506153		2590407		1825095		2384285	
  111.9812		5500561		2587794		1784998		2381378	
  112.1816		5505630		2589885		1781285		2385899	
  112.3790		5503435		2590930		1777464		2384177	
  112.5798		5495021		2592027		1813308		2386545	
  112.7767		5497268		2590198		1812770		2381163	
  112.9767		5500561		2592654		1808895		2385199	
  113.1738		5504114		2592445		1829131		2384123	
  113.3700		5508609		2590146		1790435		2384931	
  113.5705		5503696		2587428		1781339		2385899	
  113.7669		5495439		2589519		1742696		2383585	
  113.9684		5493244		2592027		1830638		2387460	
  114.1649		5499777		2591296		1887849		2385792	
  114.3659		5502494		2593438		1865298		2389828	
  114.5624		5494028		2589937		1822457		2387299	
  114.7628		5510647		2588996		1853727		2384984	
  114.9590		5504010		2590668		1832576		2384661	
  115.1599		5500665		2590355		1864814		2381432	
  115.3561		5500143		2590512		1855288		2382024	
  115.5576		5506727		2591662		1807872		2385469	
  115.7541		5492722		2591400		1820681		2382885	
  115.9542		5501397		2590146		1859916		2385092	
  116.1512		5501658		2590773		1811909		2384392	
  116.3534		5502756		2589310		1770252		2386868	
  116.5481		5498888		2589623		1751738		2385845	
  116.7500		5498313		2590355		1859163		2385146	
  116.9468		5487600		2590041		1739736		2380033	
  117.1497		5507355		2589205		1803082		2385415	
  117.3433		5498418		2589101		1813954		2387406	
  117.5399		5513312		2592132		1805074		2386384	
  117.7404		5515612		2587271		1765301		2384231	
  117.9367		5503069		2591243		1758358		2383047	
  118.1382		5497791		2589519		1794256		2386545	
  118.3346		5499307		2592393		1804966		2390689	
  118.5350		5504898		2590251		1876223		2383316	
  118.7311		5509079		2591087		1841456		2386276	
  118.9322		5500926		2590564		1826601		2382347	
  119.1288		5502233		2590146		1839195		2387729	
